feature,readable_feature,observed_value,training_median,original_event_risk,counterfactual_event_risk,risk_change_when_observed,absolute_risk_change
log_rms_channel_iqr_slope,log rms channel iqr — two-minute trend,-0.0025670824430463,-8.904591836949959e-05,0.5193407950483999,0.5184380504896078,0.0009027445587921346,0.0009027445587921346
log_line_length_slope,log line length — two-minute trend,0.0002998520482032,-4.636792859411444e-05,0.5193407950483999,0.5185074617150665,0.0008333333333334636,0.0008333333333334636
log_rms_slope,log RMS amplitude — two-minute trend,-0.0015907905994858,-9.397403173738395e-05,0.5193407950483999,0.5201741283817332,-0.0008333333333332416,0.0008333333333332416
zero_crossing_rate_channel_iqr_slope,zero crossing rate channel iqr — two-minute trend,-5.315524056153749e-05,-7.905138339921027e-06,0.5193407950483999,0.518556112060327,0.0007846829880728823,0.0007846829880728823
hjorth_mobility_channel_p90_std,hjorth mobility channel p90 — context variability,0.1255840592097397,0.1145717380177788,0.5193407950483999,0.518582401432689,0.0007583936157109505,0.0007583936157109505
log_rms_channel_p90_slope,log rms channel p90 — two-minute trend,-0.0059205990421501,-0.00012916473620355,0.5193407950483999,0.5200917109179509,-0.0007509158695510054,0.0007509158695510054
log_mad_channel_iqr_last,log mad channel iqr — most recent interval,1.1244027129641534,0.5044181425712994,0.5193407950483999,0.5200638944012198,-0.0007230993528198892,0.0007230993528198892
log_line_length_last,log line length — most recent interval,1.8486877236501156,1.6164395061266499,0.5193407950483999,0.5199906963936182,-0.0006499013452182512,0.0006499013452182512
log_rms_last,log RMS amplitude — most recent interval,2.874860841459977,2.332166497896666,0.5193407950483999,0.5187212908004086,0.0006195042479912871,0.0006195042479912871
median_absolute_channel_correlation_slope,median absolute channel correlation — two-minute trend,-0.0001023466538005,-2.734066365435366e-06,0.5193407950483999,0.5187339241734633,0.0006068708749366047,0.0006068708749366047
zero_crossing_rate_channel_p90_last,zero crossing rate channel p90 — most recent interval,0.2087774294670846,0.2539184952978056,0.5193407950483999,0.5187536209657762,0.0005871740826237648,0.0005871740826237648
