feature,readable_feature,importance_nll_increase,importance_std,baseline_validation_nll,repeats
hjorth_mobility_channel_iqr_slope,hjorth mobility channel iqr — two-minute trend,0.0029144789311810193,0.0,0.9031190673388064,1
hjorth_complexity_channel_p90_slope,hjorth complexity channel p90 — two-minute trend,0.0028760328728645312,0.0,0.9031190673388064,1
log_line_length_channel_iqr_last,log line length channel iqr — most recent interval,0.002807232280770733,0.0,0.9031190673388064,1
log_line_length_slope,log line length — two-minute trend,0.002694361138989465,0.0,0.9031190673388064,1
hjorth_mobility_slope,Hjorth mobility — two-minute trend,0.002682428654879887,0.0,0.9031190673388064,1
log_mad_channel_iqr_slope,log mad channel iqr — two-minute trend,0.002653783769846485,0.0,0.9031190673388064,1
hjorth_mobility_channel_iqr_last,hjorth mobility channel iqr — most recent interval,0.0026387582956571842,0.0,0.9031190673388064,1
hjorth_complexity_channel_iqr_slope,hjorth complexity channel iqr — two-minute trend,0.0026170984057154456,0.0,0.9031190673388064,1
zero_crossing_rate_channel_iqr_slope,zero crossing rate channel iqr — two-minute trend,0.0024549542334183494,0.0,0.9031190673388064,1
hjorth_mobility_channel_p90_slope,hjorth mobility channel p90 — two-minute trend,0.0024517713494217608,0.0,0.9031190673388064,1
log_robust_range_channel_p90_slope,log robust range channel p90 — two-minute trend,0.0022007482668191525,0.0,0.9031190673388064,1
usable_channel_fraction_last,usable-channel fraction — most recent interval,0.0020881949276722045,0.0,0.9031190673388064,1
log_rms_channel_p90_slope,log rms channel p90 — two-minute trend,0.0020760937751553854,0.0,0.9031190673388064,1
log_line_length_channel_p90_last,log line length channel p90 — most recent interval,0.0019470238814254248,0.0,0.9031190673388064,1
log_mad_channel_p90_slope,log mad channel p90 — two-minute trend,0.001851537763168043,0.0,0.9031190673388064,1
log_robust_range_last,log robust peak-to-peak range — most recent interval,0.0018148500628888398,0.0,0.9031190673388064,1
log_rms_channel_iqr_slope,log rms channel iqr — two-minute trend,0.001645059662922832,0.0,0.9031190673388064,1
log_line_length_last,log line length — most recent interval,0.0016210220739677483,0.0,0.9031190673388064,1
