threshold,sensitivity,time_in_warning,false_alarms_per_hour,captured_seizures,total_seizures,median_warning_lead_seconds
0.4240581307644587,1.0,0.6299479166666667,35.25,32.0,32.0,300.0
0.427600732413232,1.0,0.625,33.375,32.0,32.0,300.0
0.4306514555174573,1.0,0.6200520833333333,33.0,32.0,32.0,300.0
0.43562050004797,1.0,0.61484375,31.5,32.0,32.0,300.0
0.4395553195376055,1.0,0.6098958333333333,30.75,32.0,32.0,300.0
0.443318526634321,1.0,0.6049479166666667,32.625,32.0,32.0,300.0
0.4486986270378239,1.0,0.6,31.5,32.0,32.0,300.0
0.45643559367281145,1.0,0.5950520833333334,29.25,32.0,32.0,300.0
0.4644207460313356,1.0,0.5901041666666667,27.375,32.0,32.0,300.0
0.46915986616775174,1.0,0.5848958333333333,28.125,32.0,32.0,300.0
0.4765761963529541,1.0,0.5799479166666667,26.25,32.0,32.0,300.0
0.4846271714156386,1.0,0.575,24.375,32.0,32.0,300.0
0.4930719855703097,1.0,0.5700520833333333,22.5,32.0,32.0,300.0
0.5008376388305831,1.0,0.5651041666666666,21.0,32.0,32.0,300.0
0.5124399341180169,1.0,0.5598958333333334,21.0,32.0,32.0,300.0
0.5203187967227335,1.0,0.5549479166666667,20.25,32.0,32.0,300.0
0.5283221221368551,1.0,0.55,20.25,32.0,32.0,300.0
0.5379345565823106,1.0,0.5450520833333333,20.625,32.0,32.0,300.0
0.545586391862904,1.0,0.5401041666666667,21.375,32.0,32.0,300.0
0.5565983728968261,1.0,0.5348958333333333,18.375,32.0,32.0,300.0
0.5729823703663246,1.0,0.5299479166666666,15.75,32.0,32.0,300.0
0.5840937515919117,1.0,0.525,15.0,32.0,32.0,300.0
0.6001851996895389,1.0,0.5200520833333333,12.75,32.0,32.0,300.0
0.6220970161394664,1.0,0.5151041666666667,10.125,32.0,32.0,300.0
0.6423577031424408,1.0,0.5098958333333333,7.5,32.0,32.0,300.0
0.6626538959947852,1.0,0.5049479166666667,5.625,32.0,32.0,300.0
0.693063516559751,1.0,0.5,4.125,32.0,32.0,300.0
0.7088884528294537,1.0,0.49505208333333334,4.5,32.0,32.0,300.0
0.7234743590772141,1.0,0.4901041666666667,3.375,32.0,32.0,300.0
0.7400880288541576,1.0,0.48489583333333336,2.625,32.0,32.0,300.0
0.7577656838437642,1.0,0.47994791666666664,2.625,32.0,32.0,300.0
0.7663605751951926,1.0,0.475,1.875,32.0,32.0,300.0
0.7796039202733538,1.0,0.4700520833333333,1.125,32.0,32.0,300.0
0.7927470633938895,1.0,0.46510416666666665,0.75,32.0,32.0,300.0
0.8042107220536715,1.0,0.45989583333333334,0.75,32.0,32.0,300.0
0.8117631556996125,1.0,0.4549479166666667,0.375,32.0,32.0,300.0
0.8202124705790885,1.0,0.45,0.375,32.0,32.0,300.0
0.8263307259576773,1.0,0.44505208333333335,0.375,32.0,32.0,295.0
0.8370715328677415,1.0,0.4401041666666667,0.375,32.0,32.0,295.0
0.845626032838143,1.0,0.4348958333333333,0.375,32.0,32.0,290.0
0.8538548128669101,1.0,0.42994791666666665,0.375,32.0,32.0,290.0
0.8640837041997091,1.0,0.425,0.375,32.0,32.0,290.0
0.872823091776433,1.0,0.4200520833333333,0.375,32.0,32.0,290.0
0.8814060475210375,1.0,0.41510416666666666,0.375,32.0,32.0,285.0
0.8859733254271644,1.0,0.40989583333333335,0.0,32.0,32.0,285.0
0.8917435952585782,1.0,0.4049479166666667,0.0,32.0,32.0,285.0
0.8965976145803444,1.0,0.4,0.0,32.0,32.0,285.0
0.90148553924511,1.0,0.39505208333333336,0.0,32.0,32.0,282.5
0.908080149138608,1.0,0.39010416666666664,0.0,32.0,32.0,275.0
0.9127454379344347,1.0,0.38515625,0.0,32.0,32.0,275.0
0.9181019063983098,1.0,0.37994791666666666,0.0,32.0,32.0,275.0
0.9220446863904751,1.0,0.375,0.0,32.0,32.0,275.0
0.9256453196018186,1.0,0.37005208333333334,0.0,32.0,32.0,272.5
0.9300299095101894,1.0,0.3651041666666667,0.0,32.0,32.0,272.5
0.9339047352497877,1.0,0.36015625,0.0,32.0,32.0,270.0
0.9368681003432237,1.0,0.35494791666666664,0.0,32.0,32.0,267.5
0.940544135620634,1.0,0.35,0.0,32.0,32.0,262.5
0.944890852206468,1.0,0.3450520833333333,0.0,32.0,32.0,260.0
0.9489204550757386,1.0,0.34010416666666665,0.0,32.0,32.0,260.0
0.9526596417505385,1.0,0.33515625,0.0,32.0,32.0,257.5
0.9551240271304343,1.0,0.3299479166666667,0.0,32.0,32.0,255.0
0.9572048652307967,1.0,0.325,0.0,32.0,32.0,255.0
0.9605502959548767,1.0,0.32005208333333335,0.0,32.0,32.0,247.5
0.9623362360464072,1.0,0.3151041666666667,0.0,32.0,32.0,237.5
0.9647081084754342,1.0,0.31015625,0.0,32.0,32.0,237.5
0.9670665760155827,1.0,0.30494791666666665,0.0,32.0,32.0,235.0
0.9695282115590482,1.0,0.3,0.0,32.0,32.0,235.0
0.9718220919566107,1.0,0.2950520833333333,0.0,32.0,32.0,232.5
0.9745241565647598,1.0,0.29010416666666666,0.0,32.0,32.0,232.5
0.97764823211257,1.0,0.28515625,0.0,32.0,32.0,232.5
0.9791874754366532,1.0,0.2799479166666667,0.0,32.0,32.0,220.0
0.9807887125121161,1.0,0.275,0.0,32.0,32.0,220.0
0.9822305899374484,1.0,0.27005208333333336,0.0,32.0,32.0,220.0
0.9837577731525424,1.0,0.26510416666666664,0.0,32.0,32.0,217.5
0.9853853220528935,1.0,0.26015625,0.0,32.0,32.0,212.5
0.9869775157134864,1.0,0.25494791666666666,0.0,32.0,32.0,210.0
0.988036302759324,1.0,0.25,0.0,32.0,32.0,207.5
0.9889146156239861,1.0,0.24505208333333334,0.0,32.0,32.0,207.5
0.9901369436624525,1.0,0.24010416666666667,0.0,32.0,32.0,207.5
0.9908761976040139,1.0,0.23515625,0.0,32.0,32.0,207.5
0.9922935641092209,1.0,0.22994791666666667,0.0,32.0,32.0,207.5
0.9931130402582554,1.0,0.225,0.0,32.0,32.0,207.5
0.9936517311368197,1.0,0.22005208333333334,0.0,32.0,32.0,200.0
0.9945679469013635,0.96875,0.21510416666666668,0.0,31.0,32.0,200.0
0.9953868062598833,0.9375,0.21015625,0.0,30.0,32.0,195.0
0.996211120923583,0.90625,0.20494791666666667,0.0,29.0,32.0,195.0
0.9968211440700014,0.90625,0.2,0.0,29.0,32.0,195.0
0.9972789965382267,0.90625,0.19505208333333332,0.0,29.0,32.0,195.0
0.9977289321764712,0.90625,0.19010416666666666,0.0,29.0,32.0,185.0
0.9979664531605129,0.90625,0.18515625,0.0,29.0,32.0,185.0
0.9982854801644166,0.90625,0.18020833333333333,0.0,29.0,32.0,180.0
0.998735351760777,0.90625,0.175,0.0,29.0,32.0,175.0
0.998979775744691,0.875,0.17005208333333333,0.0,28.0,32.0,177.5
0.9991570129399927,0.84375,0.16510416666666666,0.0,27.0,32.0,170.0
0.9993119184723015,0.84375,0.16015625,0.0,27.0,32.0,170.0
0.9994361431392126,0.84375,0.15520833333333334,0.0,27.0,32.0,170.0
0.9995325484977396,0.8125,0.15,0.0,26.0,32.0,177.5
0.9996494530025642,0.8125,0.14505208333333333,0.0,26.0,32.0,175.0
0.9997058005476938,0.8125,0.14010416666666667,0.0,26.0,32.0,175.0
0.9997785503350567,0.8125,0.13515625,0.0,26.0,32.0,170.0
0.9998198402789374,0.8125,0.13020833333333334,0.0,26.0,32.0,170.0
0.9998553333130619,0.8125,0.125,0.0,26.0,32.0,170.0
0.999894807474394,0.8125,0.12005208333333334,0.0,26.0,32.0,167.5
0.9999231513268162,0.8125,0.11510416666666666,0.0,26.0,32.0,167.5
0.9999430938382716,0.8125,0.11015625,0.0,26.0,32.0,167.5
0.9999603249712197,0.78125,0.10520833333333333,0.0,25.0,32.0,170.0
0.9999704959533718,0.78125,0.1,0.0,25.0,32.0,170.0
0.9999797057100449,0.75,0.09505208333333333,0.0,24.0,32.0,167.5
0.9999853253445065,0.75,0.09010416666666667,0.0,24.0,32.0,162.5
