model,n_test_windows,n_test_subjects,positive_test_windows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,confusion_matrix
logistic_regression,12481,4,280,0.7755788798974441,0.532778050979428,0.029137093761673515,0.2785714285714286,0.052756171795738924,0.5718614984720223,0.06248734082557397,"[[9602, 2599], [202, 78]]"
hist_gradient_boosting,12481,4,280,0.860988702828299,0.579952462912876,0.04953560371517028,0.2857142857142857,0.08443271767810026,0.6805670202676596,0.05015280898691471,"[[10666, 1535], [200, 80]]"
random_forest,12481,4,280,0.9317362390834067,0.5742644045570036,0.08187134502923976,0.2,0.11618257261410789,0.6503534546348659,0.04915818877119094,"[[11573, 628], [224, 56]]"
