higher_frequency_band,lower_frequency_band,higher_band_mean_within_patient_sd,lower_band_mean_within_patient_sd,higher_band_less_variable_within_patients,higher_band_patient_sd,lower_band_patient_sd,higher_band_less_variable_across_patients
beta,delta,0.5465122908582903,0.4227739062017885,False,1.021701694312263,0.4481287768883104,False
beta,theta,0.5465122908582903,0.5729508332262988,True,1.021701694312263,0.782742157981457,False
beta,alpha,0.5465122908582903,0.7647005845683199,True,1.021701694312263,0.8529358246315503,False
gamma,delta,0.7924743494293485,0.4227739062017885,False,0.7754424307067399,0.4481287768883104,False
gamma,theta,0.7924743494293485,0.5729508332262988,False,0.7754424307067399,0.782742157981457,True
gamma,alpha,0.7924743494293485,0.7647005845683199,False,0.7754424307067399,0.8529358246315503,True
